From,To,Type
mv_indy,wr_phka,7
mv_mulan,wr_phla,7
mv_poca,wr_phla,7
mv_cars,wr_phlo,7
mv_hercules,wr_raca,7
mv_monsters,wr_raeg,7
mv_toyst4,wr_rajo,7
mv_mulan,wr_rasi,7
mv_aristo,wr_rawr,7
mv_bambi,wr_rawr,7
mv_jungle,wr_rawr,7
mv_lattr,wr_rawr,7
mv_mapooh,wr_rawr,7
mv_ppan,wr_rawr,7
mv_salam,wr_rawr,7
mv_thrcab,wr_rawr,7
mv_tsby,wr_rawr,7
mv_poca,wr_razo,7
mv_alad,wr_rere,7
mv_ouach,wr_ricr,7
mv_snow,wr_ricr,7
mv_mulan,wr_rihs,7
mv_salam,wr_rihu,7
mv_liki,wr_rima,7
mv_ralphbrk,wr_rimo,7
mv_wir,wr_rimo,7
mv_zoo,wr_rimo,7
mv_blcaul,wr_riri,7
mv_alad,wr_roal,7
mv_batb,wr_roal,7
mv_olicomp,wr_roal,7
mv_chlit,wr_roan,7
mv_bh6,wr_roba,7
mv_monstersuni,wr_roba,7
mv_inout,wr_roca,7
mv_alad,wr_rocl,7
mv_hercules,wr_rocl,7
mv_tgmouse,wr_rocl,7
mv_tlmm,wr_rocl,7
mv_tpatf,wr_rocl,7
mv_treasurepl,wr_rocl,7
mv_jampch,wr_roda,7
mv_mulan,wr_rodsaso,7
mv_tpatf,wr_roed,7
mv_treasurepl,wr_roed,7
mv_brbear,wr_rofr,7
mv_chlit,wr_rofr,7
mv_donlamp,wr_roga,7
mv_jjatt,wr_rogi,7
mv_poca,wr_rogi,7
mv_batb,wr_role,7
mv_hotr,wr_role,7
mv_blcaul,wr_romo,7
mv_alad2,wr_rosch,7
mv_jafar,wr_rosch,7
mv_tinkerlnb,wr_rosch,7
mv_turbo,wr_rosi,7
mv_mmmus,wr_rowi,7
mv_salam,wr_rowi,7
mv_thrcab,wr_rowi,7
mv_secotw,wr_ryro,7
mv_hotr,wr_sale,7
mv_ouach,wr_scgo,7
mv_frozen,wr_shmo,7
mv_funff,wr_sile,7
mv_mtr,wr_stan,7
mv_brbear,wr_stbe,7
mv_chlit,wr_stbe,7
mv_jampch,wr_stbl,7
mv_toyst4,wr_stfo,7
mv_foxho,wr_sthu,7
mv_tgmouse,wr_sthu,7
mv_tinkerlnb,wr_stlo,7
mv_brave,wr_stpu,7
mv_toysttf,wr_stpu,7
mv_brbear,wr_stwe,7
mv_poca,wr_sugr,7
